,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
119,vila,100,PT,1612046657,92,42.0304,-8.1588,46.99,13.0
120,catuday,100,PH,1612046657,70,16.2923,119.8062,71.15,14.81
121,mehamn,100,NO,1612046657,96,71.0357,27.8492,25.0,21.27
122,lebu,3,CL,1612046618,79,-37.6167,-73.65,59.11,12.46
123,bairiki,40,KI,1612046658,89,1.3292,172.9752,80.6,11.5
124,la huacana,1,MX,1612046658,47,18.9667,-101.8167,77.0,6.91
125,ilhabela,28,BR,1612046439,78,-23.7781,-45.3581,77.97,1.74
126,clyde river,1,CA,1612046658,76,70.4692,-68.5914,-18.4,7.67
127,las choapas,40,MX,1612046658,65,17.9333,-94.0833,78.8,11.5
128,east london,2,ZA,1612046400,83,-33.0153,27.9116,69.87,2.01
129,mandleshwar,0,IN,1612046659,32,22.1833,75.6667,58.01,3.98
130,luena,100,AO,1612046659,96,-11.7833,19.9167,63.3,3.91
131,faanui,74,PF,1612046659,72,-16.4833,-151.75,81.03,7.72
132,norman wells,40,CA,1612046659,68,65.282,-126.8329,-25.6,3.44
133,freeport,1,US,1612046373,31,40.6576,-73.5832,32.0,6.91
134,kokopo,100,PG,1612046660,74,-4.352,152.2633,82.6,13.02
135,hovd,93,MN,1612046660,83,48.0056,91.6419,7.59,0.74
136,shenjiamen,84,CN,1612046660,87,29.9576,122.298,51.26,10.33
137,qaanaaq,100,GL,1612046660,72,77.484,-69.3632,-4.22,1.72
138,belaya gora,100,RU,1612046661,86,68.5333,146.4167,-26.81,2.26
139,pilar,40,BR,1612046661,94,-9.5972,-35.9567,77.0,5.75
140,souillac,40,MU,1612046661,89,-20.5167,57.5167,78.8,10.45
141,albany,12,US,1612046614,55,42.6001,-73.9662,18.0,5.99
142,nanortalik,100,GL,1612046631,90,60.1432,-45.2371,29.91,9.93
143,darasun,40,RU,1612046661,75,51.6667,114.0,-27.4,1.99
144,sao filipe,83,CV,1612046630,65,14.8961,-24.4956,73.54,13.56
145,thompson,90,CA,1612046479,86,55.7435,-97.8558,15.8,3.44
146,pandan,100,PH,1612046662,79,14.0453,124.1694,76.3,19.39
147,elko,20,US,1612046662,48,41.0002,-115.5012,39.2,5.75
148,poum,62,NC,1612046465,67,-20.2333,164.0167,79.68,11.65
149,yellowknife,75,CA,1612046540,77,62.456,-114.3525,-11.0,4.61
150,darnah,0,LY,1612046663,73,32.767,22.6367,60.08,7.83
151,gravelbourg,5,CA,1612046663,85,49.8834,-106.5512,6.8,4.61
152,manicore,100,BR,1612046663,96,-5.8092,-61.3003,76.26,1.86
153,fortuna,90,US,1612046663,71,40.5982,-124.1573,55.99,18.41
154,oktyabrskiy,90,RU,1612046664,97,54.4815,53.471,22.62,8.32
155,monte alegre,95,BR,1612046664,92,-2.0078,-54.0692,76.68,3.78
156,hamilton,75,US,1612046534,51,39.1834,-84.5333,36.0,6.91
157,necochea,100,AR,1612046664,59,-38.5473,-58.7368,62.01,7.0
158,pangnirtung,0,CA,1612046533,73,66.1451,-65.7125,-9.63,2.08
159,port hardy,75,CA,1612046665,81,50.6996,-127.4199,44.6,18.41
160,butte,1,US,1612046665,41,39.6499,-121.5677,60.8,4.61
161,xinyu,93,CN,1612046666,73,27.8043,114.9334,45.99,1.79
162,saint-pierre,0,RE,1612046666,65,-21.3393,55.4781,78.8,6.91
163,klaksvik,75,FO,1612046666,80,62.2266,-6.589,33.8,18.41
164,grand gaube,6,MU,1612046666,87,-20.0064,57.6608,75.99,3.0
165,ferkessedougou,20,CI,1612046666,18,9.6,-5.2,76.3,3.18
166,manama,0,BH,1612046667,59,26.2154,50.5832,66.2,14.97
167,bredasdorp,6,ZA,1612046472,86,-34.5322,20.0403,66.99,6.35
168,arica,0,CL,1612046667,68,-18.475,-70.3042,71.6,12.66
169,berdigestyakh,78,RU,1612046667,75,62.0989,126.6992,-47.33,0.98
170,adre,0,TD,1612046667,24,13.4667,22.2,65.55,13.87
171,college,90,US,1612046558,77,64.8569,-147.8028,-4.0,3.44
172,komsomolskiy,100,UZ,1612046476,44,40.4272,71.7189,37.4,6.91
173,narsaq,75,GL,1612046641,30,60.9167,-46.05,41.0,35.68
174,soria,92,ES,1612046668,84,41.6667,-2.6667,39.0,7.0
175,georgetown,20,MY,1612046668,83,5.4112,100.3354,77.0,3.44
176,chiredzi,84,ZW,1612046668,91,-21.05,31.6667,73.44,6.35
177,vung tau,100,VN,1612046669,75,10.346,107.0843,74.07,6.4
178,mahebourg,40,MU,1612046669,89,-20.4081,57.7,78.8,11.72
179,goma,68,CD,1612046536,78,-1.6792,29.2228,63.39,1.88
180,tual,82,ID,1612046669,77,-5.6667,132.75,82.96,10.33
181,norrkoping,12,SE,1612046670,85,58.5942,16.1826,12.99,5.75
182,pevek,2,RU,1612046619,84,69.7008,170.3133,-32.91,3.71
183,beloha,2,MG,1612046619,79,-25.1667,45.05,75.18,3.15
184,mount isa,76,AU,1612046606,33,-20.7333,139.5,89.6,5.75
185,coquimbo,75,CL,1612046652,82,-29.9533,-71.3436,66.2,9.22
186,vardo,100,NO,1612046663,96,70.3705,31.1107,25.41,20.15
187,khasan,17,RU,1612046671,86,42.4308,130.6434,6.31,7.38
188,san francisco,75,US,1612046387,67,37.7749,-122.4194,57.99,4.9
189,beringovskiy,100,RU,1612046671,95,63.05,179.3167,8.2,26.42
190,esperance,0,AU,1612046672,88,-33.8667,121.9,57.2,12.66
191,egvekinot,0,RU,1612046672,83,66.3167,-179.1667,-24.32,10.87
192,sao joao da barra,0,BR,1612046612,81,-21.6403,-41.0511,78.01,20.11
193,butaritari,100,KI,1612046672,77,3.0707,172.7902,81.21,16.58
194,cap malheureux,4,MU,1612046673,87,-19.9842,57.6142,75.99,3.0
195,hollola,98,FI,1612046673,99,61.05,25.4333,21.99,3.0
196,ayagoz,69,KZ,1612046673,87,47.9714,80.4392,15.06,14.94
197,richards bay,98,ZA,1612046673,91,-28.783,32.0377,74.57,5.55
198,alto araguaia,95,BR,1612046673,85,-17.3147,-53.2153,72.66,4.97
199,malatya,90,TR,1612046670,100,38.5,38.0,30.2,5.75
200,tessalit,21,ML,1612046674,22,20.1986,1.0114,64.4,13.11
201,anadyr,97,RU,1612046548,65,64.75,177.4833,-5.8,24.61
202,kazachinskoye,0,RU,1612046674,78,57.6953,93.2761,-38.67,2.26
203,manvi,8,IN,1612046404,69,15.9833,77.05,66.4,5.48
204,kjellerup,75,DK,1612046675,93,56.2858,9.4353,30.2,5.75
205,kaeo,0,NZ,1612046675,54,-35.1,173.7833,73.99,10.0
206,riohacha,0,CO,1612046675,62,11.5444,-72.9072,80.26,12.57
207,salinopolis,100,BR,1612046675,86,-0.6136,-47.3561,79.18,10.98
208,sakrand,0,PK,1612046675,81,26.1384,68.2736,48.2,2.3
209,mount pleasant,20,US,1612046585,66,32.7941,-79.8626,48.99,10.56
210,sri aman,100,MY,1612046676,100,1.2376,111.4621,75.2,0.4
211,qiryat shemona,28,IL,1612046676,39,33.2073,35.5721,64.4,29.93
212,lakhisarai,0,IN,1612046676,64,25.1768,86.0932,43.84,6.04
213,paralimni,40,CY,1612046676,72,35.0375,33.9833,59.0,17.27
214,srednekolymsk,100,RU,1612046677,83,67.45,153.6833,-33.93,2.73
215,porto novo,20,BJ,1612046677,84,6.4965,2.6036,84.2,10.36
216,rundu,100,NA,1612046643,87,-17.9333,19.7667,70.72,3.44
217,ahuimanu,40,US,1612046677,61,21.4447,-157.8378,80.6,16.11
218,takoradi,80,GH,1612046677,84,4.8845,-1.7554,79.68,8.48
219,lata,44,PT,1612046641,86,40.1629,-8.3327,55.99,3.0
